Bucket,Business Name,Store ID,Date,Category,Sub-Category,Bucket Tag,Feedback,Source,Built,Portal
Comp / void,Smashbros Galssboro,33209153,03/19/2025,Customer Checkout,Order Creation,feature gaps,"The MX wants discounts that require a manager's code or a void and comp option. The order numbers on the kiosks match because there are 2 kiosks, which occasionally causes confusion for both workers and visitors.  They are happy with what we have to offer, other than that. Since the POS was still running 5.xx, there were a few glitches with the ""ghost order"" that might have been a memory leak. I fixed the firmware, and we haven't had any ghost tickets since. Even when MP DD tickets printed out twice, the MX's trust in DD remained unaffected. The prompt answers to all of the questions and issues that arose were really appreciated by the Mx. Based on our observations over the last two days, this MX is going to be a busy one, and they are a pleasure to deal with.",,,https://www.doordash.com/merchant/sales?store_id=33209153
Comp / void,Sumatra Cafe,1173820,03/19/2026,Restaurant Operations,Cash Management,feature gaps,Comp / Void options,Onboarding,,https://www.doordash.com/merchant/sales?store_id=1173820
Comp / void,The Mean Weiner,445685,03/28/2025,Other,Other,feature improvements,Traditional Comp/Void Process,,,https://www.doordash.com/merchant/sales?store_id=445685
Permission / override,2AM Project (York Rd),34314392,06/07/2025,Employee Management,Permissions,feature gaps,Wants employee permissions - doesn't want all employees to have access to discounting,AM Calls,,https://www.doordash.com/merchant/sales?store_id=34314392
Permission / override,Bare Naked Bowl,35175701,09/23/2025,Employee Management,Permissions,feature gaps,Mx requested Permissions on the Discount/surcharge level. He would like the ability to add discounts like 'Full comp' but exist behind a permission.,Onboarding,,https://www.doordash.com/merchant/sales?store_id=35175701
Permission / override,Bravos (Moreno Valley),182967,04/14/2025,Restaurant Operations,Menu Management,feature improvements,"Menu permissions - mx has a special catering menu but doesn't want staff to access it and offer these discounts outside of the required minimum ($5 burritos for 10 or more, but staff will offer these deals to friends when they shouldn't).",,,https://www.doordash.com/merchant/sales?store_id=182967
Permission / override,Burger Bun (Kiosk Only),11409,01/16/2026,Customer Checkout,Self Service Kiosk,feature gaps,Kiosk - manager override to add a discount at checkout.,Onboarding,,https://www.doordash.com/merchant/sales?store_id=11409
Permission / override,Cal's Corner,net new,02/17/2026,Employee Management,Permissions,feature gaps,"Customizable permission tiers that are not 1 size fits all for managers. Override controls for refunds, voids, comps, tip edits, and order changes.",ICP,,
Permission / override,City Burger White Lake,28458067,03/23/2026,Employee Management,Permissions,feature gaps,Ability to apply permissions to certain discounts for basic employees,Onboarding,,https://www.doordash.com/merchant/sales?store_id=28458067
Permission / override,Eggsactly,23535599,10/28/2024,Customer Relationship,Acquisition,feature improvements,Mx is concerned with user permissions in regards to discounts. Doesn't want all employees to have access.,,,https://www.doordash.com/merchant/sales?store_id=23535599
Conditional / threshold,Otro dia Tacos,454590,12/04/2024,Customer Relationship,Acquisition,feature gaps,"Discounts only offered after a certain threshold. Merchant runs multiple virtual brands, and would be really excited about being able to add all brands to the POS.",,,https://www.doordash.com/merchant/sales?store_id=454590
Conditional / threshold,Otro dia Tacos,454590,12/04/2024,Core Point of Sale,Customization,feature gaps,"Discounts only offered after a certain threshold. Merchant runs multiple virtual brands, and would be really excited about being able to add all brands to the POS.",Onboarding,,https://www.doordash.com/merchant/sales?store_id=454590
